"No","Nama Produk","Nomor Izin Edar / Notifikasi","Kandungan Bahan Berbahaya/Dilarang","Produsen / Pendaftar","Nomor Surat Public Warning"
"377","IMPLORA Fashionable Cosmetics Y7034 (Eye Shadow)","NA18121200886","Merah K10 (Rhodamin B)","CV. Priskila Mandiri Utama","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"378","IMPLORA Lipstick No 6 (Fleur Rouge)","NA18141303744","Merah K10 (Rhodamin B)","Priskila Cosmetics","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"379","IMPLORA Lipstick No.1 (Water Shine Diamonds)","NA18111301524","Merah K10 (Rhodamin B)","Priskila Cosmetics","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"380","IMPLORA Lipstick No.2 (Water Shine Diamonds)","NA18111301507","Merah K10 (Rhodamin B)","Priskila Cosmetics","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"381","IMPLORA Lipstick No.3 (Water Shine Diamonds)","NA18111301506","Merah K10 (Rhodamin B)","Priskila Cosmetics","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"382","IMPLORA Lipstick No.5 (Water Shine Diamonds)","NA18111301509","Merah K10 (Rhodamin B)","Priskila Cosmetics","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"383","IMPLORA Lipstick No.6 (Water Shine Diamonds)","NA18111301510","Merah K10 (Rhodamin B)","Priskila Cosmetics","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"384","IMPLORA Lipstik 01","NA 18111301506","Merah K3 (CI Pigment Red 53)","Priskila Cosmetics","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"385","IMPLORA Lipstik 03","NA 18111301508","Merah K10 (Rhodamin B)","Priskila Cosmetics","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"386","IMPLORA Nail Polish 8 mL (color 064)","Pada kemasan primer tidak tercantum nomor notifikasi, namun pada kemasan sekunder tertulis : NA18121500260; NA18121500261; NA18121500262; NA18121500263; NA18121500264; NA18121500265; NA18121500266; NA18121500267; NA18121500268; NA18121500269; NA18121500270; NA18121500271","Merah K10 (Rhodamin B)","PT. PRISKILA COSMETICS","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"387","IMPLORA Nail Polish 8 mL (color 092)","Pada kemasan primer tidak tercantum nomor notifikasi, namun pada kemasan sekunder tertulis : NA18121500260; NA18121500261; NA18121500262; NA18121500263; NA18121500264; NA18121500265; NA18121500266; NA18121500267; NA18121500268; NA18121500269; NA18121500270; NA18121500271","Merah K10 (Rhodamin B)","PT. PRISKILA COSMETICS","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"388","IRISH WHITE Day Cream","-","Merkuri / raksa (Hg)","The Beauty Rich Lab Ltd., Thailand","PW.02.04.1.4.10.22.169 (04/10/2022)"
"389","IRISH WHITE Night Cream","-","Merkuri / raksa (Hg)","The Beauty Rich Lab Ltd., Thailand","PW.02.04.1.4.10.22.169 (04/10/2022)"
"390","IZUOCA Eye Shadow Two Way Cake with Pearl Nutrient, Vit B3 & UV Protection","-","Merah K3 (CI Pigment Red 53)","","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"391","JAKARTA AESTHETIC CLINIC Light And Glow","NA18151900438","Hidrokinon","PT. Immortal Cosmedika Indonesia Untuk PT Mahakarya Indah Sejati","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"392","JEED JEES Lip Tint Velvet No 06","-","Merah K3 (CI Pigment Red 53)","Shantou City Hanya Cosmetics Co., Ltd., China","PW.02.04.1.4.10.22.169 (04/10/2022)"
"393","JEED JEES Lip Tint Velvet No 07","-","Merah K3 (CI Pigment Red 53)","Shantou City Hanya Cosmetics Co., Ltd., China","PW.02.04.1.4.10.22.169 (04/10/2022)"
"394","JEED JEES Lip Tint Velvet No.06","-","Merah K3 (CI Pigment Red 53)","Shantoushi Qifeng Cosmetics Co., Ltd., China","HM.01.1.2.10.21.49 (13/10/2021)"
"395","JEED JEES Lip Tint Velvet No.07","-","Merah K3 (CI Pigment Red 53)","Shantoushi Qifeng Cosmetics Co., Ltd., China","HM.01.1.2.10.21.49 (13/10/2021)"
"396","Jelita Farra Serlah Kejelitaanmu Skincare 5 in 1 - Cream Treatment","-","Asam Retinoat / Tretinoin","Malaysia","HM.01.1.4.01.20.02 (01/07/2020)"
"397","Jelita Farra Serlah Kejelitaanmu Skincare 5 in 1 - Day Cream","-","Merkuri / raksa (Hg)","Malaysia","HM.01.1.4.01.20.02 (01/07/2020)"
"398","Jelita Farra Serlah Kejelitaanmu Skincare 5 in 1 -Cream Herbal","-","Merkuri / raksa (Hg)","Malaysia","HM.01.1.4.01.20.02 (01/07/2020)"
"399","JERGENS Ultra Healing Moisturizer","-","Cemaran mikroba (Pluralibacter gergoviae)","Kao Usa Inc.","PW.02.04.1.4.10.22.169 (04/10/2022)"
"400","JINZU Strawberry White n Beauty Soap","(Tidak Terdaftar, mencantumkan No. Izin Fiktif)","Merah K10 (Rhodamin B)","Tri Putri Ayu, Tangerang","KH.00.01.43.2503 (11/06/2009)"
"401","JUST MISS Lip Color Lipstick No. 41","NA 18111300924 (Izin Edar telah dibatalkan)","Merah K3 (CI Pigment Red 53)","PT. Winida Ayu Lestari, Jakarta","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"402","JUST MODERN WONDER COLOR - Dark Brown Chocolate-J2","-","Kadar p-fenilendiamin lebih kecil daripada data registrasi (produk palsu)","Guangzhou Baiyun Darong Fine Chemical Industry Co., Ltd., China","HM.01.1.2.10.21.49 (13/10/2021)"
"403","JUST Modern Wonder Color - Dark Brown Chocolate-J2","-","Kadar p-fenilendiamin (0,792% b/b) kurang dari data notifikasi (20%) (produk palsu)","P.C.L. Inter Co., Ltd., Thailand","PW.02.04.1.4.10.22.169 (04/10/2022)"
"404","JUST MODERN Wonder Color - Light Blond Mocha-J4","-","Kadar p-fenilendiamin (0,120% b/b) kurang dari data notifikasi (20%) (produk palsu)","P.C.L. Inter Co., Ltd., Thailand","PW.02.04.1.4.10.22.169 (04/10/2022)"
"405","JUST Modern Wonder Color - Light Brown Cappuccino - J3","-","Kadar p-fenilendiamin (0,377% b/b) kurang dari data notifikasi (20%) (produk palsu)","P.C.L. Inter Co., Ltd., Thailand","PW.02.04.1.4.10.22.169 (04/10/2022)"
"406","JXZH Beautiful Flower Style London Clearly Distinct Eyeliner Fluid","-","Timbal","Hong Pin Guo Cosmetics Co., Ltd.","HM.01.1.2.10.21.49 (13/10/2021)"
"407","KAI Eye Shadow & Blush On","-","Merah K10 (Rhodamin B)","","KH.00.01.432.6147 (26/11/2008)"
"408","KALLA Cubic Gold Lipstick No.5 Nude","-","Merah K3 (CI Pigment Red 53)","Shantoushi Qifeng Cosmetics Co., Ltd., China","HM.01.1.2.10.21.49 (13/10/2021)"
"409","KALLA Cubic Gold Lipstick No.5 Nude Notification number 10-2-6200029963","-","Merah K3 (CI Pigment Red 53)","Shantou City Hanya Cosmetics Co., Ltd., China","PW.02.04.1.4.10.22.169 (04/10/2022)"
"410","Karisma Cosmetic - Day Cream","-","Merkuri / raksa (Hg)","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"411","Karisma Cosmetic - Night Cream","-","Merkuri / raksa (Hg)","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"412","Karisma Cosmetic - Treatment Cream","-","Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"413","KIM Whitening Pearl And Snowlotus Cream","-","Betamethasone 17","Mojun Company, South Korea","PW.02.04.1.4.10.22.169 (04/10/2022)"
"414","KIM Whitening Turmeric And Snowlotus Cream","-","Betamethasone 17","Mojun Company, South Korea","PW.02.04.1.4.10.22.169 (04/10/2022)"
"415","KIMARI PROFESSIONAL HAIR COLOR CREAM K 11 ASH","-","o-Aminophenol","Handian CO., LTD.","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"416","KIMARI PROFESSIONAL HAIR COLOR CREAM K 6-3 BROWN GOLD","-","o-Aminophenol","Handian CO., LTD.","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"417","KISS Beauty 3 D Tint All Day No. 1","-","Merah K10 (Rhodamin B)","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"418","KISS Beauty 3 D Tint All Day No. 2","-","Merah K10 (Rhodamin B)","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"419","KISS Beauty 3 D Tint All Day No. 3","-","Merah K10 (Rhodamin B)","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"420","KISS Beauty 3 D Tint All Day No. 4","-","Merah K10 (Rhodamin B)","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"421","Kiss Beauty 8 Color Eyeshadow + 2 Color Blusher","-","Timbal","China","HM.01.1.2.10.21.49 (13/10/2021)"
"422","Kiss Beauty Matte Colorful Blush Finish Touch","-","Merah K10 (Rhodamin B)","-","HM.01.1.2.10.21.49 (13/10/2021)"
"423","KISS Beauty No. 8","-","Arsen melebihi yang diijinkan (> 5 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"424","KISS BEAUTY No.20","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"425","KISS Beauty No.7","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"426","KISS Beauty No.8 (Pink Case)","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"427","Kiss Beauty Real Gel Tint 9 Fruit Flavor","-","Merah K10 (Rhodamin B)","China","HM.01.1.4.01.20.02 (01/07/2020)"
"428","KISSUN Skin Clarifying Age Defence Cream","NB02180101106","Hidrokinon","PT. Bhineka Usada Raya, Jakarta","HM.01.1.2.10.21.48 (13/10/2021)"
"429","KM 1 Cream","-","Merkuri/raksa (Hg)","","PW.2010"
"430","KONE Tokyo Japan","-","Merkuri / raksa (Hg)","Kone Natural Herb Co.,Ltd., Thailand","PW.02.04.1.4.10.22.169 (04/10/2022)"
"431","KOREAN WID YA Night Cream","NA26160102781","Merkuri / raksa (Hg)","HongikSkin/ LK Cosmetics, South Korea, Di import oleh : PT. Billindo Kristal Jaya","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"432","KOSMETIK IBI SARI Krim Siang","-","Merkuri / raksa (Hg)","","KH.00.01.432.6147 (26/11/2008)"
"433","Krem Kuning dan Putih ( aksara Cina )","-","Merkuri / raksa (Hg)","","KH.00.01.3352 (07/09/2006)"
"434","Krim Malam","-","Merkuri / raksa (Hg)","","KH.00.01.432.6147 (26/11/2008)"
"435","Krim Polos dalam pot plastik (Miong)","-","Merkuri / raksa (Hg)","","KH.00.01.2.3984 (02/09/2004)"
"436","KS 1 Cream","-","Merkuri/raksa (Hg)","","PW.2010"
"437","Kundal Fresh Water Hand Sanitizer+","-","Kadar asetaldehid dan methanol melebihi batas","The Skin Factory Global SG Pte Ltd","HM.01.1.2.10.21.49 (13/10/2021)"
"438","KYLIE XOXO 2 in 1 eye - lip liner No 10","-","Merah K10 (Rhodamin B)","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"439","KYLIE XOXO 2 in 1 eye - lip liner No 9","-","Merah K10 (Rhodamin B)","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"440","L`COME Day Cream","NA47150104120","Merkuri / raksa (Hg)","Bertie Enterprise Corp., Taiwan,  Import by : PT. Sinar Dios Abadi","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"441","L'ANGEL Luxury Professional Angelic Hair Color Cream 7.0 Medium Blonde","-","Kadar p-fenilendiamin (0,0843% b/b) kurang dari data notifikasi (15,7%) (produk palsu)","Guangzhou Handian Cosmetics Co.Ltd","PW.02.04.1.4.10.22.169 (04/10/2022)"
"442","L’Abeauty Set Jeragat - Pigment Booster Night Cream","-","Merkuri / raksa (Hg)","","HM.01.1.4.01.20.02 (01/07/2020)"
"443","L’COME Night Cream","NA47150104119","Merkuri / raksa (Hg)","Bertie Enterprise Corp., Taiwan,  Di impor oleh : PT. Sinar Dios Abadi","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"444","LA BELLA ESTHER Day Cream","NA47150101125","Merkuri / raksa (Hg)","Chiao Tu Cosmetics Co. Ltd., Taiwan, Import by: CV. Crystal Beauty","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"445","LA BELLA ESTHER Night Cream","NA47150101123","Merkuri / raksa (Hg)","Chiao Tu Cosmetics Co. Ltd., Taiwan, Import by: CV. Crystal Beauty","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"446","LA BELLA Night Cream","-","Merkuri/raksa (Hg)","","PW.2010"
"447","LA WIDYA COLLAGEN Day Cream","NA47150103942","Merkuri / raksa (Hg)","Bertie Enterprise Corp., Taiwan,  Import by : PT. Sinar Dios Abadi","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"448","LA WIDYA Collagen Night Cream","NA47150103943","Merkuri / raksa (Hg)","Bertie Enterprise Corp., Taiwan,  Di impor oleh : PT. Sinar Dios Abadi","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"449","LA WIDYA Curcumin Day Cream","NA47150103996","Merkuri / raksa (Hg)","Bertie Enterprise Corp., Taiwan,  Di impor oleh : PT. Sinar Dios Abadi","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"450","LA WIDYA CURCUMIN Night Cream","NA47150103941","Merkuri / raksa (Hg)","Bertie Enterprise Corp., Taiwan,  imported by PT. Sinar Dios Abadi","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"451","LABELLA Day Cream","NA47130103619","Merkuri / raksa (Hg)","Chiao Tu Cosmetics Co. Ltd., Taiwan, Import by: CV. Crystal Beauty","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"452","LABELLA Night Cream","NA47130103618","Merkuri / raksa (Hg)","Chiao Tu Cosmetics Co. Ltd., Taiwan, Import by: CV. Crystal Beauty","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"453","LABITHA Night Cream","NA47160100888","Merkuri / raksa (Hg)","Bertie Enterprise Corp., Taiwan,  Import by : PT. Sinar Dios Abadi","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"454","LADYMATE Lipstick No 02","NA 18111302790","Merah K3 (CI Pigment Red 53)","PT. Era Variasi Intertika","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"455","LADYMATE Lipstick No 03","NA 18111302791","Merah K3 (CI Pigment Red 53)","PT. Era Variasi Intertika","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"456","LADYMATE Lipstick No 04","NA 18111302788","Merah K3 (CI Pigment Red 53)","PT. Era Variasi Intertika","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"457","LADYMATE Lipstick No 06","NA 18111302889","Merah K3 (CI Pigment Red 53)","PT. Era Variasi Intertika","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"458","LADYMATE Lipstick No 07","NA 18111302890","Merah K3 (CI Pigment Red 53)","PT. Era Variasi Intertika","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"459","LADYMATE Lipstick No 08","NA 18111302891","Merah K3 (CI Pigment Red 53)","PT. Era Variasi Intertika","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"460","LADYMATE Lipstick No 09","NA 18111302892","Merah K3 (CI Pigment Red 53)","PT. Era Variasi Intertika","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"461","LADYMATE Lipstick No 10","NA 18111302893","Merah K3 (CI Pigment Red 53)","PT. Era Variasi Intertika","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"462","LADYMATE Lipstick No 11","NA 18111302894","Merah K3 (CI Pigment Red 53)","PT. Era Variasi Intertika","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"463","LADYMATE Lipstick No 12","NA 18111302895","Merah K3 (CI Pigment Red 53)","PT. Era Variasi Intertika","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"464","LADYMATE Lipstick No. 02","NA 18121301026","Merah K3 (CI Pigment Red 53)","PT. Era Variasi Intertika","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"465","LADYMATE Lipstick No. 03","NA 18121301027","Merah K3 (CI Pigment Red 53)","PT. Era Variasi Intertika","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"466","LADYMATE Lipstick No. 06","NA 18121301030","Merah K3 (CI Pigment Red 53)","PT. Era Variasi Intertika","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"467","Lana Radiance Night Cream","-","Hidrokinon","Malaysia","HM.01.1.2.10.21.49 (13/10/2021)"
"468","LANXI Whitening Bird","-","Merkuri / raksa (Hg)","Thailand","HM.01.1.2.10.21.49 (13/10/2021)"
"469","Laurel Cosmetics Lipstick (No. 027,098)","-","Merah K3 (CI Pigment Red 53)","","KH.00.01.3352 (07/09/2006)"
"470","LE MONE Hair Shampoo Ginger Essence (Black)","-","Ditemukan p-fenilendiamin 2,91% b/b yang tidak teridentifikasi pada notifikasi (produk palsu)","Guangzhou Liangxin Refinement Chemical Co., Ltd. China","PW.02.04.1.4.10.22.169 (04/10/2022)"
"471","LEAUPAR Whitening Night Cream","CA 18080105747 (Izin Edar telah dibatalkan)","Merkuri/ raksa (Hg)","AP., Surabaya","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"472","Leeya Whitening Daily dan Night Use","-","Merkuri / raksa (Hg) & Kadar Hidrokinon : 2,62 %","","KH.00.01.3352 (07/09/2006)"
"473","Leiqi Make Up Kit","-","Merah K10 (Rhodamin B)","","KH.00.01.3352 (07/09/2006)"
"474","Lelinda Make Up Kit","-","Merah K10 (Rhodamin B)","","KH.00.01.2.3984 (02/09/2004)"
"475","Leving Pearl Cream","-","Merkuri / raksa (Hg)","Meita Chemical Work, Taiwan","KH.00.01.3352 (07/09/2006)"
"476","LIE CHE Day Cream","CA 18100101353 (Izin Edar telah dibatalkan)","Merkuri/ raksa (Hg)","PT. Ayu Nusantara Sejahtera, Banyumas","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"477","LIE CHE Night Cream","CA 18090104797 (Izin Edar telah dibatalkan)","Merkuri/ raksa (Hg)","CV. ANS","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"478","LIE CHE Whitening Soap","CA 18090505560 (Izin Edar telah dibatalkan)","Merkuri/ raksa (Hg)","PT. Ayu Nusantara Sejahtera, Banyumas","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"479","Lien Hua Krim pagi siang Cream merah / Pot Plastik","-","Merkuri / raksa (Hg)","","KH.00.01.432.6081 (01/08/2007)"
"480","LIEN HUA Day Cream (Bunga Teratai)","CA 18100101354 (Izin Edar telah dibatalkan)","Merkuri/ raksa (Hg)","PT. Ayu Nusantara Sejahtera, Banyumas","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"481","LIEN HUA Night Cream (Bunga Teratai)","CA 18090105543 (Izin Edar telah dibatalkan)","Merkuri/ raksa (Hg)","PT. Ayu Nusantara Sejahtera, Banyumas","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"482","Lifebuoy Instant Hand Sanitizer","-","Kadar asetaldehid dan methanol melebihi batas","Unilever Singapore Pte Ltd","HM.01.1.2.10.21.49 (13/10/2021)"
"483","Ling Zhi Vitamin E Jingga / Pot Plastik","-","Merkuri / raksa (Hg)","","KH.00.01.432.6081 (01/08/2007)"
"484","Ling Zhi Vitamin E Putih / Pot Plastik","-","Merkuri / raksa (Hg)","","KH.00.01.432.6081 (01/08/2007)"
"485","Lipstick Aika (No. 119,125,127,153,154,157)","-","Merah K10 (Rhodamin B)","","KH.00.01.2.3984 (02/09/2004)"
"486","Lipstick Aika 89-69 (No. 119,125,127,154,157)","-","Merah K10 (Rhodamin B)","","KH.00.01.2.3984 (02/09/2004)"
"487","Lipstick Aika 89-70 (No. 102,107,122)","-","Merah K10 (Rhodamin B)","","KH.00.01.2.3984 (02/09/2004)"
"488","Lipstick Bamboo Blue No. 21","-","Merah K10 (Rhodamin B)","Chun Gao","KH.00.01.2.3984 (02/09/2004)"
"489","Lipstick Cherry 100","-","Merah K10 (Rhodamin B)","","KH.00.01.2.3984 (02/09/2004)"
"490","Lipstick Cherry 400","-","Merah K10 (Rhodamin B)","","KH.00.01.2.3984 (02/09/2004)"
"491","Lipstick Elizabeth Helen (No. 2,22,23)","-","Merah K10 (Rhodamin B)","Mahmood M. Saeed Jedah","KH.00.01.2.3984 (02/09/2004)"
"492","Lipstick Tokyo 11","-","Merah K10 (Rhodamin B)","","KH.00.01.2.3984 (02/09/2004)"
"493","Lipstick Tokyo 12","-","Merah K10 (Rhodamin B)","","KH.00.01.2.3984 (02/09/2004)"
"494","Lipstick Tokyo 7","-","Merah K10 (Rhodamin B)","","KH.00.01.2.3984 (02/09/2004)"
"495","LIXIAO Night Cream","NA47150103548","Merkuri / raksa (Hg)","Chiao Tu Cosmetics Co. Ltd., Taiwan, Import by: CV. Crystal Beauty","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"496","LOCOS Anti Fleck Vit. E dan Herbal","-","Merkuri / raksa (Hg)","PT. Locos, Bandung","KH.00.01.432.6147 (26/11/2008)"
"497","LOVELY PLUS Herbal Hair Color (Brown)","-","Ditemukan p-fenilendiamin 0,0184% b/b yang tidak teridentifikasi pada notifikasi (produk palsu), O-Aminophenol","Arimino Co.,Ltd., Japan","PW.02.04.1.4.10.22.169 (04/10/2022)"
"498","LOVELY PLUS Herbal Hair Color (Golden Brown)","-","Ditemukan p-fenilendiamin 0,0184% b/b yang tidak teridentifikasi pada notifikasi (produk palsu), O-Aminophenol","Chemicure Laboratories Pvt. Ltd., India","PW.02.04.1.4.10.22.169 (04/10/2022)"
"499","LOVES ME Keep Color Trio Eyeshadow LM3044 04","NKIT200001911 (Dibatalkan)","Merah K10 (Rhodamin B)","PT Kilau Cahaya Cemerlang","PW.02.04.1.4.10.22.168 (04/10/2022)"
"500","LOVES ME The Matte Eyeshadow LM3016 02","NKIT200001917 (Dibatalkan)","Merah K10 (Rhodamin B)","PT Kilau Cahaya Cemerlang","PW.02.04.1.4.10.22.168 (04/10/2022)"
"501","LOVES ME The Matte Eyeshadow LM3022 04","NKIT200001915 (Dibatalkan)","Merah K10 (Rhodamin B)","PT Kilau Cahaya Cemerlang","PW.02.04.1.4.10.22.168 (04/10/2022)"
"502","LS Repairing Cream","-","Merkuri / raksa (Hg)","","PW.02.04.1.4.10.22.169 (04/10/2022)"
"503","Luffiya Night Cream 1 - 2","-","Asam Retinoat / Tretinoin, Hidrokinon, dan Merkuri / raksa (Hg)","Lolla Industries (M) Sdn. Bhd.","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"504","LUFFIYA Treatment Foundation","-","Merkuri / raksa (Hg)","","PW.02.04.1.4.10.22.169 (04/10/2022)"
"505","Luoys Eye Colour","-","Merah K10 (Rhodamin B)","Limei Cosmetics Co. Ltd","KH.00.01.2.3984 (02/09/2004)"
"506","MAC GIAMBATTISTA VALLI PARIS MATTE LIPSTICK - MATTE REBEL","-","Dipalsukan","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"507","MAC MARIAH CAREY DANGEROUS LIPSTICK A01","-","Dipalsukan","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"508","MAC ZAC MATTE PINK PIGEON LIPSTICK","Terdapat nama produk ternotifikasi yang mirip dengan produk yang dilaporkan Mac Matte Lipstick -Pink Pigeon","Dipalsukan","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"509","MAC ZAC POSEN LIPSTICK EMBRACE ME 05","-","Dipalsukan","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"510","MAC ZAC POSEN LIPSTICK RUDY WOO","-","Dipalsukan","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"511","MACALANA Depigment Cream","-","Merkuri/raksa (Hg)","Changxian Limited Company, Kaohsiung, Taiwan","PW.2010"
"512","MACALANA Super Moisten Skin Cream","-","Asam Retinoat / Tretinoin, Merkuri / raksa (Hg)","Changxian Limited Company, Kaohsiung, Taiwan","PW.2010"
"513","MADAME GIE Nail Shell 10","NA11191505045 (Dibatalkan)","Merah K10 (Rhodamin B)","PT Tjhindatama Mulia","PW.02.04.1.4.10.22.168 (04/10/2022)"
"514","MADAME GIE Nail Shell 14","NA11191505046 (Dibatalkan)","Merah K10 (Rhodamin B)","PT Tjhindatama Mulia","PW.02.04.1.4.10.22.168 (04/10/2022)"
"515","MADAME GIE Sweet Cheek Blushed 03","NA11191205581 (Dibatalkan)","Merah K3 (CI Pigment Red 53)","PT Tjhindatama Mulia","PW.02.04.1.4.10.22.168 (04/10/2022)"
"516","Madame Organic Whitening Arbutin Notification number 10-1-5507742","-","Merkuri / raksa (Hg)","Guangzhou Beauty Natural Cosmetic Factory, China","HM.01.1.4.01.20.02 (01/07/2020)"
"517","Makeheal - Naked Slip Brow Pencil (Product Code: BR0203)","-","Senyawa antimon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"518","Makeheal - Naked Slip Brow Pencil (Product Code: YL0801)","-","Senyawa antimon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"519","MALISSA Kiss Melted Matte Lip Color #07 Red Moon","-","Merah K3 (CI Pigment Red 53)","Zhejiang Eshine Cosmetics Co.,Ltd., China","PW.02.04.1.4.10.22.169 (04/10/2022)"
"520","MALISSA KISS Melted Matte Lip Color #07 Red Moon","-","Merah K3 (CI Pigment Red 53)","Zhejiang Eshing Cosmetics Co., Ltd. China","HM.01.1.2.10.21.49 (13/10/2021)"
"521","MARIE ANNE Beauty Shadow (No. 4,5,6,8)","(Izin Edar dibatalkan)","Merah K3 (CI Pigment Red 53)","PT. Hollywood Sisters, Malang","KH.00.01.43.2503 (11/06/2009)"
"522","MARIE ANNE Beauty Shadow 02","NA18171201068","Timbal","HOLLYWOOD SISTERS","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"523","MARIE ANNE Beauty Shadow 07","NA18171204009","Timbal","HOLLYWOOD SISTERS","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"524","MARIE ANNE Blush On No. 3","(Izin Edar dibatalkan)","Merah K3 (CI Pigment Red 53)","PT. Hollywood Sisters, Malang","KH.00.01.43.2503 (11/06/2009)"
"525","MARIMAR Eye Shadow & Powder Cake","-","Merah K3 (CI Pigment Red 53)","","KH.00.01.43.2503 (11/06/2009)"
"526","MARIMAR Lipstick No. 10","CD 0905502521 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","UD. Fonda Mas","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"527","MARIMAR Lipstick No. 14","CD 0905502521 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","UD. Fonda Mas","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"528","MARIMAR Lipstick No. 2","CD 0905502519 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","UD. Fonda Mas","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"529","MARIMAR Lipstick No. 3","CD 0905502520 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","UD. Fonda Mas","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"530","MARIMAR Lipstick Pencil 1","CD 0905502518 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","UD. Fonda Mas untuk UD. Chandra","HM.04.01.1.23.12.11.10567 (27/12/2011)"
