english_name,indonesian_name,is_dangerous
"2,4-DIMETHYLCYCLOHEXYLMETHYL ACETATE","2,4-DIMETHYLCYCLOHEXYLMETHYL ACETATE",False
"2,4-DIMETHYLHEPTA-2,2-DIENAL","2,4-DIMETHYLHEPTA-2,2-DIENAL",False
"2,4-DIMETHYLPYRIDINE","2,4-DIMETHYLPYRIDINE",False
"2,4-HEXADIENOL","2,4-HEXADIENOL",False
"2,4-HEXADIENYL ACETATE","2,4-HEXADIENYL ACETATE",False
"2,4-XYLENOL","2,4-XYLENOL",False
"2,4, 6-TRIMETHYL-3-CYCLOHEXENECARBALDEHYDE","2,4, 6-TRIMETHYL-3-CYCLOHEXENECARBALDEHYDE",False
"2,4, 6-TRIMETHYL-3-CYCLOHEXENYL-4-PENTEN-3-ONE","2,4, 6-TRIMETHYL-3-CYCLOHEXENYL-4-PENTEN-3-ONE",False
"2,4, 6-TRIMETHYL-4-PHENYL-1,3-DIOXANE","2,4, 6-TRIMETHYL-4-PHENYL-1,3-DIOXANE",False
"2,4, 6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE","2,4, 6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE",False
"2,5-DIHYDRO-4-METHYLTHIAZOL-5-ETHANOL","2,5-DIHYDRO-4-METHYLTHIAZOL-5-ETHANOL",False
"2,5-DIHYDROXYBENZOIC ACID","2,5-DIHYDROXYBENZOIC ACID",False
"2,5-DIMETHYL-2-VINYLHEX-4-ENAL","2,5-DIMETHYL-2-VINYLHEX-4-ENAL",False
"2,5-DIMETHYLPYRAZINE","2,5-DIMETHYLPYRAZINE",False
"2,5-XYLENOL","2,5-XYLENOL",False
"2,5, 5-TRIMETHYL-2-PHENYL-1,3-DIOXANE","2,5, 5-TRIMETHYL-2-PHENYL-1,3-DIOXANE",False
"2,5, 6-TRIAMINO-4-PYRIMIDINOL SULFATE","2,5, 6-TRIAMINO-4-PYRIMIDINOL SULFATE",False
"2,5, 6-TRIMETHYL-2-CYCLOHEXENONE","2,5, 6-TRIMETHYL-2-CYCLOHEXENONE",False
"2,6-DIAMINO-3-((PYRIDIN-3-YL)AZO)PYRIDINE","2,6-DIAMINO-3-((PYRIDIN-3-YL)AZO)PYRIDINE",False
"2,6-DIAMINOPYRIDINE","2,6-DIAMINOPYRIDINE",False
"2,6-DIAMINOPYRIDINE SULFATE","2,6-DIAMINOPYRIDINE SULFATE",False
"2,6-DICARBOXYPYRIDINE","2,6-DICARBOXYPYRIDINE",False
"2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE","2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE",False
"2,6-DIHYDROXYETHYLAMINOTOLUENE","2,6-DIHYDROXYETHYLAMINOTOLUENE",False
"2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL","2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL",False
"2,6-DIMETHYL-4-HEPTANOL","2,6-DIMETHYL-4-HEPTANOL",False
"2,6-DIMETHYL-4-HEPTANONE","2,6-DIMETHYL-4-HEPTANONE",False
"2,6-DIMETHYL-7-OCTEN-2-OL","2,6-DIMETHYL-7-OCTEN-2-OL",False
"2,6-DIMETHYL-P-PHENYLENEDIAMINE","2,6-DIMETHYL-P-PHENYLENEDIAMINE",False
"2,6-DIMETHYL-P-PHENYLENEDIAMINE HCL","2,6-DIMETHYL-P-PHENYLENEDIAMINE HCL",False
"2,6-DIMETHYLHEPTA-1,5-DIENE","2,6-DIMETHYLHEPTA-1,5-DIENE",False
"2,6-DIMETHYLHEPTANOL","2,6-DIMETHYLHEPTANOL",False
"2,6-DIMETHYLPYRAZINE","2,6-DIMETHYLPYRAZINE",False
